Bought_Or_Not,Recency,Frequency,Monetary_Value,Mean_Quantity,ActivationDate,Age,SubscribedEmail,SubscribedPush,Male
1.0,173.0,5.833333333333333,289.42857142857144,1.8285714285714285,735601,37.0,True,True,1
1.0,63.0,1.5,404.22222222222223,1.6666666666666667,735601,34.0,False,False,1
1.0,7.0,6.666666666666667,368.1,1.225,735601,28.0,False,False,1
1.0,84.0,11.0,275.81818181818176,2.121212121212121,735601,46.0,True,False,1
0.0,137.0,12.666666666666666,185.8684210526316,1.2105263157894737,735601,25.0,True,True,0
1.0,77.0,21.5,161.09302325581393,1.2015503875968991,735601,43.0,True,True,0
0.0,19.0,6.916666666666667,319.1204819277108,1.036144578313253,735601,44.0,True,True,0
1.0,28.0,6.833333333333333,340.87804878048775,1.6341463414634145,735601,34.0,True,True,0
0.0,349.0,2.6666666666666665,237.125,1.0,735601,28.0,True,True,0
1.0,48.0,14.0,363.85714285714266,1.7321428571428572,735601,32.0,True,True,0
1.0,6.0,33.5,249.18407960199005,1.263681592039801,735601,28.0,False,True,0
1.0,196.0,9.25,290.0,1.2972972972972974,735601,48.0,False,False,1
1.0,168.0,7.0,374.0357142857143,1.7857142857142858,735601,33.0,True,False,0
1.0,31.0,8.333333333333334,248.74299999999997,2.04,735601,21.0,True,False,0
0.0,132.0,4.666666666666667,289.0357142857142,1.1071428571428572,735601,40.0,True,False,0
1.0,315.0,19.4,297.62886597938143,1.092783505154639,735601,21.0,True,True,0
1.0,86.0,4.833333333333333,279.7931034482758,1.4482758620689655,735601,34.0,False,False,1
0.0,686.0,9.333333333333334,261.1876785714286,1.0535714285714286,735601,21.0,True,False,0
0.0,125.0,31.5,233.77777777777783,1.2936507936507937,735601,25.0,True,True,1
0.0,883.0,3.0,275.05555555555554,1.0555555555555556,735601,39.0,True,False,1
0.0,512.0,5.0,376.51428571428573,1.3142857142857143,735601,37.0,True,True,0
0.0,403.0,6.833333333333333,209.21951219512195,1.0975609756097562,735601,34.0,False,True,0
1.0,428.0,4.833333333333333,239.44827586206895,1.3793103448275863,735601,31.0,True,True,0
1.0,108.0,13.166666666666666,348.39240506329116,1.4177215189873418,735601,21.0,True,True,0
